aX,aY,aZ,gX,gY,gZ,Sample No
0.809,0.456,-0.301,0.305,1.16,2.869,2
0.81,0.454,-0.304,0.366,1.282,3.479,2
0.811,0.455,-0.307,0.061,1.465,3.784,2
0.807,0.452,-0.312,0.244,1.282,3.296,2
0.798,0.453,-0.311,-0.061,1.038,2.869,2
0.796,0.453,-0.31,-0.244,0.488,2.441,2
0.794,0.458,-0.309,-0.549,-0.122,2.075,2
0.798,0.462,-0.309,-0.488,-0.366,1.587,2
0.813,0.456,-0.311,-0.427,-0.732,1.099,2
0.813,0.454,-0.305,-0.671,-1.221,1.038,2
0.811,0.454,-0.3,-1.16,-1.282,0.977,2
0.807,0.458,-0.299,-1.221,-1.343,0.977,2
0.805,0.461,-0.3,-1.099,-1.16,0.61,2
0.814,0.457,-0.304,-0.854,-0.854,0.244,2
0.817,0.459,-0.301,-0.793,-0.61,0.122,2
0.816,0.459,-0.301,-0.671,-0.732,-0.183,2
0.806,0.441,-0.301,-0.671,-0.671,-0.793,2
0.819,0.486,-0.301,-1.099,-0.366,-1.648,2
0.815,0.47,-0.303,-0.427,-0.305,0,2
0.823,0.466,-0.303,0.488,0.061,0,2
0.828,0.462,-0.303,1.099,-0.061,0.183,2
0.829,0.457,-0.306,1.282,-0.244,0.305,2
0.827,0.452,-0.307,1.16,0,0.061,2
0.823,0.454,-0.309,1.038,0.183,0.061,2
0.818,0.46,-0.312,1.221,0.183,-0.122,2
0.817,0.466,-0.314,1.221,0.427,-0.244,2
0.817,0.467,-0.312,1.648,0.488,-0.549,2
0.816,0.465,-0.31,1.77,0.427,-0.732,2
0.814,0.461,-0.309,1.831,0.366,-1.099,2
0.813,0.456,-0.314,1.892,0.305,-1.282,2
0.812,0.449,-0.313,1.648,0.244,-1.343,2
0.815,0.448,-0.309,1.16,0.488,-1.038,2
0.815,0.449,-0.307,1.282,0.549,-0.61,2
0.816,0.455,-0.312,0.977,0.793,-0.427,2
0.817,0.46,-0.309,1.16,0.916,-0.244,2
0.82,0.461,-0.303,1.465,0.671,-0.183,2
0.824,0.46,-0.303,1.648,0.549,0.122,2
0.822,0.461,-0.302,1.648,0.549,0.488,2
0.819,0.459,-0.301,1.831,0.793,0.671,2
0.818,0.459,-0.302,1.587,0.977,1.038,2
0.819,0.46,-0.304,1.404,1.343,1.16,2
0.818,0.46,-0.306,1.16,1.77,0.854,2
0.815,0.461,-0.307,0.977,1.709,0.366,2
0.812,0.462,-0.305,0.732,1.648,0.061,2
0.809,0.459,-0.305,0.549,1.038,-0.488,2
1.509,0.639,0.178,303.833,75.012,-60.303,3
1.438,0.716,-1.667,350.769,41.443,-56.458,3
0.794,1.183,-1.407,171.204,-22.217,-5.249,3
0.846,0.837,-0.895,55.725,18.616,7.874,3
0.911,0.266,-0.575,44.8,15.503,-11.475,3
0.872,-0.151,-0.553,39.063,-20.142,-14.16,3
0.757,-0.059,-0.517,-5.188,-20.02,3.479,3
0.677,0.131,-0.473,-49.438,-6.104,17.395,3
0.657,0.233,-0.429,-67.627,-4.639,16.479,3
0.716,0.268,-0.34,-70.618,-7.935,8.972,3
0.763,0.343,-0.231,-71.533,-7.996,2.502,3
0.77,0.448,-0.13,-70.557,-6.165,-1.343,3
0.746,0.51,-0.067,-61.035,-5.859,-5.249,3
0.748,0.532,-0.055,-44.067,-6.47,-11.169,3
0.765,0.542,-0.091,-25.391,-6.531,-14.771,3
0.79,0.533,-0.155,-9.888,-5.188,-14.893,3
0.81,0.496,-0.213,0.549,-3.54,-12.817,3
0.824,0.447,-0.252,6.409,-2.991,-8.728,3
0.833,0.404,-0.276,9.033,-2.563,-4.028,3
0.837,0.377,-0.291,8.972,-2.075,-0.366,3
0.848,0.376,-0.299,8.24,-1.038,3.418,3
0.859,0.386,-0.301,6.836,0.549,5.615,3
0.872,0.403,-0.301,5.615,2.258,5.859,3
0.882,0.417,-0.302,5.127,2.991,4.639,3
0.887,0.425,-0.305,5.005,3.662,2.991,3
0.883,0.432,-0.306,4.15,3.357,1.16,3
0.875,0.438,-0.302,2.93,2.563,-0.305,3
0.859,0.444,-0.294,2.319,1.648,-1.038,3
0.847,0.446,-0.28,2.563,0.793,-1.526,3
0.835,0.449,-0.273,3.296,0.488,-1.587,3
0.828,0.447,-0.27,3.845,0.488,-0.916,3
0.826,0.442,-0.266,4.578,0.977,-0.244,3
0.824,0.44,-0.265,5.554,1.526,0.305,3
0.823,0.434,-0.274,6.775,1.831,0.916,3
0.829,0.427,-0.287,7.263,2.075,1.709,3
0.827,0.422,-0.296,7.263,2.563,2.502,3
0.829,0.415,-0.305,5.92,2.747,2.869,3
0.832,0.411,-0.312,4.578,2.563,3.113,3
0.837,0.409,-0.318,2.93,2.441,3.54,3
0.837,0.411,-0.325,1.404,2.319,3.235,3
0.83,0.412,-0.321,-0.305,1.831,2.686,3
0.824,0.419,-0.307,-1.282,1.465,2.136,3
0.832,0.433,-0.302,-1.892,1.343,1.16,3
0.835,0.441,-0.296,-1.953,0.793,0.366,3
0.833,0.448,-0.286,-1.465,-0.183,-0.427,3
0.829,0.448,-0.276,-0.366,-0.732,-0.854,3
0.83,0.45,-0.263,1.221,-0.854,-0.671,3
0.836,0.447,-0.263,2.747,-0.61,-0.244,3
0.838,0.443,-0.273,3.662,-0.427,0.366,3
0.837,0.442,-0.273,3.967,-0.061,1.465,3
0.835,0.438,-0.273,4.333,0.061,2.136,3
0.834,0.439,-0.28,4.333,0.244,2.747,3
0.836,0.44,-0.287,3.662,0.61,3.174,3
0.835,0.437,-0.293,2.869,0.977,3.174,3
0.837,0.44,-0.292,2.014,0.977,2.93,3
0.838,0.443,-0.288,1.526,0.671,2.258,3
0.833,0.443,-0.285,1.221,0.183,1.404,3
0.828,0.446,-0.286,0.977,-0.122,0.793,3
0.82,0.448,-0.291,0.671,-0.061,0.793,3
0.82,0.446,-0.289,0.061,0.244,0.732,3
0.823,0.441,-0.292,0.244,0.671,0.793,3
0.821,0.439,-0.299,0.61,0.366,1.221,3
0.813,0.44,-0.297,0.366,-0.122,2.014,3
0.804,0.438,-0.293,0.488,-0.122,2.563,3
0.805,0.443,-0.293,0.916,0.061,3.174,3
0.819,0.447,-0.292,0.854,0.366,3.418,3
0.831,0.443,-0.292,0.793,0.122,3.235,3
0.836,0.444,-0.285,0.916,-0.61,2.808,3
0.837,0.445,-0.282,1.16,-1.099,1.77,3
0.84,0.442,-0.278,1.831,-1.404,0.549,3
0.849,0.442,-0.278,1.831,-1.343,-0.61,3
0.852,0.441,-0.281,1.77,-1.221,-1.282,3
0.854,0.44,-0.282,1.587,-1.038,-1.404,3
0.846,0.437,-0.278,1.587,-1.16,-1.16,3
0.843,0.436,-0.281,1.526,-0.854,-0.793,3
0.839,0.437,-0.287,1.282,-0.244,-0.305,3
0.834,0.437,-0.289,0.854,0.244,0.549,3
0.834,0.434,-0.291,0.671,0.549,1.16,3
0.832,0.435,-0.291,0.427,0.488,1.77,3
0.829,0.436,-0.293,-0.061,0.305,1.831,3
0.827,0.445,-0.295,0,0.488,1.587,3
0.825,0.445,-0.3,0.183,0.427,0.916,3
0.819,0.44,-0.3,0.183,0.122,0,3
0.811,0.435,-0.301,0.244,-0.305,-0.793,3
0.807,0.434,-0.297,0.244,-0.732,-1.465,3
0.806,0.438,-0.295,0.305,-0.854,-1.709,3
0.81,0.439,-0.291,0.427,-0.854,-1.892,3
0.817,0.438,-0.291,0.977,-1.16,-1.831,3
0.82,0.437,-0.292,1.099,-1.404,-1.831,3
0.823,0.434,-0.288,1.343,-1.404,-1.648,3
0.825,0.434,-0.281,0.977,-1.282,-1.16,3
0.828,0.433,-0.28,1.282,-1.221,-0.671,3
0.823,0.415,-0.282,1.465,-1.099,-0.366,3
0.835,0.456,-0.276,0.977,-0.916,-0.732,3
0.837,0.433,-0.282,0.854,-0.61,0.488,3
0.841,0.436,-0.281,1.099,-0.244,0.488,3
0.837,0.432,-0.282,1.282,-0.671,0.183,3
0.835,0.431,-0.284,1.77,-1.16,0.427,3
0.837,0.43,-0.289,1.587,-1.038,0.305,3
0.837,0.431,-0.281,1.16,-0.61,0.366,3
0.839,0.436,-0.279,0.488,-0.427,0.244,3
0.842,0.441,-0.283,0.061,-0.244,0.122,3
0.845,0.442,-0.286,0.488,-0.549,-0.122,3
0.848,0.442,-0.289,0.793,-0.793,0,3
0.849,0.439,-0.285,0.916,-0.793,-0.061,3
0.849,0.437,-0.282,0.732,-0.793,-0.244,3
0.848,0.434,-0.282,0.61,-0.793,0.244,3
0.842,0.436,-0.286,0.366,-0.671,0.61,3
0.839,0.441,-0.277,0.305,-0.549,0.732,3
0.845,0.44,-0.272,0.122,-0.122,0.549,3
0.842,0.445,-0.271,0.427,0.183,0.61,3
0.838,0.444,-0.272,0.366,0.244,0.427,3
0.835,0.441,-0.274,0.977,0.122,0.122,3
0.837,0.44,-0.276,1.404,0.244,0,3
0.839,0.437,-0.276,1.343,0.244,0,3
0.841,0.432,-0.279,1.343,0.244,0.183,3
0.836,0.434,-0.282,0.916,0.244,0.244,3
0.828,0.431,-0.287,0.244,0,0.427,3
0.819,0.427,-0.289,-0.061,-0.488,0.61,3
1.266,0.39,0.612,213.562,57.617,-45.471,4
1.224,0.476,-1.043,276.306,15.503,-31.921,4
0.756,1.046,-1.014,158.02,-25.146,4.333,4
0.753,0.883,-0.915,74.707,4.15,13.123,4
0.874,0.374,-0.585,50.842,15.93,-6.531,4
0.883,0.001,-0.446,39.429,-6.042,-11.597,4
0.863,0.048,-0.367,5.92,-6.409,-1.282,4
0.789,0.199,-0.348,-24.658,1.465,6.287,4
0.744,0.243,-0.358,-35.217,1.831,5.554,4
0.767,0.296,-0.318,-39.246,-0.854,1.465,4
0.786,0.392,-0.242,-43.457,-1.892,-1.831,4
0.775,0.468,-0.174,-42.847,-1.465,-4.15,4
0.751,0.502,-0.121,-35.828,-2.563,-6.531,4
0.759,0.544,-0.089,-26.855,-3.052,-9.46,4
0.779,0.55,-0.106,-15.808,-2.93,-9.827,4
0.797,0.548,-0.143,-5.676,-2.38,-9.155,4
0.803,0.522,-0.18,1.282,-1.953,-6.958,4
0.821,0.488,-0.211,6.592,-1.099,-2.991,4
0.824,0.446,-0.224,10.254,-0.488,0.061,4
0.826,0.419,-0.234,11.902,-0.061,3.296,4
0.833,0.413,-0.251,11.841,1.343,6.165,4
0.844,0.426,-0.273,10.62,3.296,7.935,4
0.857,0.438,-0.287,8.606,4.7,8.24,4
0.866,0.448,-0.288,6.165,5.188,7.202,4
0.863,0.454,-0.286,4.028,4.761,5.493,4
0.857,0.459,-0.282,2.38,3.723,3.601,4
0.845,0.465,-0.27,1.099,3.052,1.892,4
0.832,0.469,-0.256,-0.122,2.441,0.854,4
0.829,0.474,-0.244,-0.244,2.441,0.366,4
0.825,0.481,-0.235,-0.122,2.136,0.183,4
0.82,0.484,-0.232,0.793,1.526,-0.122,4
0.818,0.477,-0.237,1.953,1.038,-0.244,4
0.813,0.468,-0.238,2.625,0.732,-0.061,4
0.812,0.458,-0.24,2.991,0.671,0.183,4
0.823,0.45,-0.253,3.296,0.732,0.61,4
0.844,0.438,-0.266,2.869,1.404,1.16,4
0.85,0.43,-0.27,1.709,1.465,1.221,4
0.847,0.427,-0.271,0.122,0.977,1.099,4
0.838,0.433,-0.268,-1.038,0.732,1.038,4
0.829,0.445,-0.262,-1.648,0.671,0.977,4
0.84,0.45,-0.264,-1.892,1.038,0.977,4
0.839,0.457,-0.263,-2.258,1.526,1.282,4
0.829,0.462,-0.264,-2.38,1.465,1.404,4
0.818,0.461,-0.262,-2.136,1.282,1.648,4
0.807,0.457,-0.26,-2.136,1.282,2.197,4
0.801,0.47,-0.254,-1.831,1.526,2.869,4
0.811,0.471,-0.25,-0.916,1.587,3.723,4
0.846,0.468,-0.251,0.793,1.709,4.15,4
0.861,0.47,-0.257,1.038,1.77,4.272,4
0.849,0.473,-0.258,0.854,1.16,4.028,4
0.831,0.469,-0.258,1.343,0.305,3.662,4
0.826,0.467,-0.258,1.587,0.183,3.784,4
0.822,0.467,-0.26,1.465,0.671,4.395,4
0.825,0.47,-0.256,0.671,1.465,4.333,4
0.835,0.473,-0.259,0.061,2.563,4.089,4
0.837,0.465,-0.263,0.183,2.686,4.333,4
0.83,0.467,-0.264,0,2.319,4.028,4
0.827,0.461,-0.264,0,2.441,4.028,4
0.83,0.461,-0.272,-0.427,2.441,3.784,4
0.829,0.461,-0.269,-1.16,2.319,3.357,4
0.825,0.461,-0.27,-1.587,2.319,2.441,4
0.818,0.461,-0.274,-1.16,1.221,1.953,4
0.811,0.462,-0.273,-0.916,0.671,1.709,4
0.812,0.461,-0.275,-0.671,0.732,1.709,4
0.813,0.456,-0.273,-0.488,0.61,2.136,4
0.81,0.456,-0.275,-0.916,0.427,2.441,4
0.802,0.456,-0.278,-1.282,0.122,2.808,4
0.8,0.456,-0.273,-1.404,0.061,3.052,4
0.802,0.453,-0.277,-1.648,0,2.991,4
0.805,0.454,-0.284,-2.441,0.061,2.747,4
0.799,0.453,-0.287,-3.052,-0.305,2.014,4
0.798,0.464,-0.281,-3.784,-0.61,1.16,4
0.811,0.462,-0.275,-4.333,-0.916,0.732,4
0.823,0.462,-0.265,-4.211,-0.732,0.732,4
0.826,0.469,-0.258,-4.15,-0.793,0.244,4
0.823,0.472,-0.253,-3.357,-0.854,0,4
0.817,0.477,-0.253,-2.441,-0.793,-0.183,4
0.83,0.477,-0.256,-1.648,-0.366,0,4
0.842,0.475,-0.257,-0.854,0.305,-0.183,4
0.842,0.472,-0.258,-0.183,0.488,-0.488,4
0.837,0.469,-0.265,0.427,0.244,-0.671,4
0.829,0.465,-0.269,0.854,0,-0.671,4
0.828,0.463,-0.271,0.793,0.488,-0.916,4
0.829,0.469,-0.273,0,1.221,-0.793,4
0.827,0.47,-0.278,-0.122,1.587,-0.732,4
0.826,0.469,-0.282,0.366,1.343,-0.671,4
0.826,0.473,-0.281,0.427,0.793,-0.671,4
0.821,0.47,-0.278,0.732,0.305,-0.854,4
0.822,0.467,-0.274,1.099,0.183,-1.16,4
0.825,0.468,-0.27,0.977,0.488,-1.099,4
0.826,0.468,-0.271,1.038,0.61,-0.854,4
0.827,0.464,-0.276,1.282,0.732,-0.977,4
0.833,0.463,-0.277,1.282,0.916,-0.549,4
0.832,0.461,-0.272,0.732,1.038,-0.305,4
0.824,0.459,-0.266,0.061,1.282,0.183,4
0.817,0.468,-0.269,-0.122,1.465,0.854,4
0.814,0.471,-0.273,0.183,1.709,1.038,4
0.81,0.473,-0.273,0.488,1.77,0.977,4
0.817,0.475,-0.269,0.732,1.587,0.854,4
0.824,0.474,-0.27,1.099,1.587,0.366,4
0.818,0.471,-0.269,1.465,1.404,0.061,4
0.813,0.466,-0.27,2.136,0.732,-0.427,4
0.812,0.462,-0.269,2.197,0.305,-0.671,4
0.818,0.46,-0.265,1.831,0.244,-0.549,4
0.818,0.457,-0.258,1.587,0.244,-0.549,4
0.818,0.456,-0.254,1.282,0.244,-0.183,4
0.82,0.459,-0.254,0.916,0.305,0.488,4
0.823,0.462,-0.256,0.854,0.366,1.16,4
0.824,0.46,-0.253,0.61,0.366,1.526,4
0.825,0.462,-0.253,0.488,0.305,2.136,4
0.823,0.461,-0.256,0.854,0.244,2.563,4
0.822,0.459,-0.261,0.671,0.244,2.686,4
0.824,0.449,-0.262,0.183,0.183,2.563,4
0.818,0.465,-0.268,-0.488,0.061,2.686,4
0.819,0.455,-0.273,-0.305,-0.183,2.38,4
0.816,0.453,-0.277,-1.038,-0.183,2.014,4
0.815,0.442,-0.282,-2.075,-0.366,2.197,4
0.822,0.489,-0.282,-4.578,-0.366,1.77,4
0.813,0.488,-0.291,-6.348,-0.122,3.723,4
1.382,0.694,0.428,132.568,63.477,-34.058,5
1.272,0.485,-0.886,188.904,26.672,-20.02,5
0.779,0.89,-0.93,106.079,-15.198,5.371,5
0.695,0.803,-0.847,43.64,2.197,7.019,5
0.783,0.455,-0.486,24.78,10.315,-5.432,5
0.775,0.216,-0.268,17.822,-8.911,-4.883,5
0.816,0.244,-0.272,-0.427,-6.104,1.526,5
0.793,0.326,-0.317,-18.25,3.296,5.981,5
0.747,0.324,-0.34,-24.658,3.174,5.188,5
0.783,0.327,-0.302,-27.222,0.488,2.319,5
0.81,0.392,-0.254,-30.334,-1.526,-0.61,5
0.785,0.435,-0.204,-30.579,-3.662,-4.272,5
0.752,0.444,-0.17,-26.062,-5.066,-8.179,5
0.753,0.469,-0.148,-19.104,-4.883,-9.705,5
0.776,0.491,-0.154,-10.01,-5.127,-9.46,5
0.795,0.496,-0.179,-1.404,-4.578,-7.935,5
0.815,0.491,-0.213,4.272,-3.052,-5.188,5
0.826,0.483,-0.243,7.935,-1.465,-2.136,5
0.83,0.469,-0.261,10.315,-0.732,1.343,5
0.837,0.458,-0.27,10.681,-0.122,4.761,5
