0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,Sample No
51.959999,95.379997,118.540001,93.979996,54.419998,16.18,7.24,6.26,6.26,8.08,8.86,8.08,6.26,3.62,0,0,0,0,0,0,0,0,0,8.86,8.86,10.219999,12,3.62,0,5.1,11.44,7.24,0,14.02,13.04,6.26,12,16.18,14.92,9.559999,3.62,3.62,17.719999,12,8.08,3.62,6.26,12,6.26,8.08,0,0,3.62,0,0,3.62,5.1,3.62,5.1,3.62,3.62,3.62,6.26,0,16
83.580002,97.739998,99.599998,68.299995,21.719999,9.559999,9.559999,8.86,9.559999,9.559999,10.86,10.86,10.219999,9.559999,9.559999,8.08,7.24,5.1,3.62,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,8.08,11.44,6.26,0,0,7.24,10.86,5.1,7.24,9.559999,13.54,12.54,13.04,14.48,12,8.86,7.24,5.1,5.1,7.24,6.26,3.62,0,0,0,0,0,17
45.639999,62.799999,71.040001,22.6,12,7.24,3.62,0,0,0,3.62,3.62,3.62,3.62,3.62,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.62,5.1,5.1,3.62,3.62,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,18
41.259998,67.82,95.379997,99.199997,69.619995,35.279999,28.039999,17.359999,0,5.1,8.86,10.86,10.86,10.219999,8.86,7.24,6.26,5.1,3.62,0,0,0,0,0,0,0,0,0,0,8.08,8.86,7.24,7.24,6.26,7.24,5.1,5.1,7.24,0,7.24,6.26,9.559999,12,0,8.08,5.1,14.48,3.62,7.24,0,3.62,0,3.62,0,0,7.24,3.62,9.559999,8.08,5.1,0,5.1,5.1,6.26,19
58.48,62.48,20.779999,6.26,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.62,7.24,3.62,3.62,3.62,8.86,6.26,6.26,5.1,9.559999,8.08,10.219999,9.559999,9.559999,10.86,12,7.24,7.24,6.26,7.24,7.24,8.08,6.26,0,3.62,0,0,0,0,0,0,0,0,0,20
66.159996,92.360001,70.379997,37.959999,9.559999,5.1,0,0,0,3.62,5.1,5.1,5.1,5.1,3.62,3.62,0,0,0,0,0,0,0,0,0,7.24,8.08,3.62,6.26,5.1,13.04,5.1,3.62,9.559999,14.48,21.1,14.48,3.62,5.1,8.86,5.1,7.24,3.62,7.24,8.08,7.24,5.1,6.26,0,0,0,3.62,3.62,3.62,0,0,9.559999,7.24,3.62,3.62,0,0,0,3.62,21
68.199997,109.68,105.739998,90.419998,29.179998,14.48,0,0,3.62,7.24,10.219999,10.219999,9.559999,8.08,6.26,3.62,0,0,0,0,3.62,3.62,13.04,8.08,8.08,3.62,3.62,5.1,10.86,6.26,6.26,5.1,5.1,8.08,5.1,19.139999,3.62,8.86,10.219999,8.08,8.08,0,3.62,7.24,8.08,0,0,0,0,3.62,5.1,3.62,3.62,0,0,0,5.1,3.62,5.1,5.1,7.24,3.62,3.62,6.26,22
93.559998,123.139999,115.899994,109.68,112.220001,99.400002,106.459999,102.399994,115.619995,86.259995,14.02,0,0,0,5.1,7.24,8.08,8.08,6.26,3.62,0,0,0,0,0,0,0,0,0,0,3.62,3.62,0,10.219999,8.86,8.86,6.26,3.62,0,3.62,0,5.1,0,0,0,3.62,5.1,3.62,3.62,6.26,0,0,3.62,5.1,0,0,0,0,0,0,0,0,0,0,23
92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,24
92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,92.419998,25
