aX,aY,aZ,gX,gY,gZ,sample
0.218,0.442,-0.886,2.136,-4.333,-1.465,2
0.239,0.447,-0.881,0.61,-3.54,0.427,2
0.257,0.447,-0.88,-0.488,-2.991,0.549,2
0.266,0.443,-0.875,-1.892,-2.991,-0.732,2
0.267,0.431,-0.863,-2.563,-3.418,-2.014,2
0.258,0.43,-0.839,-2.625,-4.272,-2.93,2
0.256,0.427,-0.823,-2.197,-4.639,-2.808,2
0.266,0.414,-0.836,-1.465,-3.54,-1.648,2
0.275,0.405,-0.85,-1.16,-3.052,-0.305,2
0.283,0.405,-0.846,-1.892,-2.808,0.427,2
0.289,0.399,-0.836,-2.808,-2.319,0.793,2
0.291,0.395,-0.821,-2.502,-2.563,0.916,2
0.291,0.41,-0.797,-1.648,-2.258,0.916,2
0.303,0.407,-0.798,0.0,-1.038,0.732,2
0.308,0.396,-0.824,2.136,-0.61,0.549,2
0.307,0.395,-0.841,3.235,-0.854,0.244,2
0.304,0.4,-0.842,2.441,-0.061,0.305,2
0.305,0.411,-0.836,1.77,0.977,0.488,2
0.305,0.412,-0.841,1.77,2.136,0.122,2
0.295,0.415,-0.849,2.258,2.686,-0.854,2
0.279,0.415,-0.847,2.319,2.136,-1.404,2
0.262,0.414,-0.845,2.441,1.709,-1.16,2
0.248,0.413,-0.842,2.869,1.465,-0.427,2
0.25,0.415,-0.855,3.235,1.343,0.488,2
0.257,0.418,-0.869,2.625,1.465,0.732,2
0.252,0.421,-0.867,1.526,1.343,0.549,2
0.246,0.426,-0.858,0.916,0.916,0.427,2
0.237,0.432,-0.84,0.977,0.122,0.732,2
0.235,0.437,-0.831,2.197,-0.793,1.282,2
0.248,0.431,-0.847,3.296,-0.427,1.404,2
1.668,3.832,-2.245,805.725,126.221,-36.621,3
-0.684,1.785,-4.0,1093.75,-33.508,-92.957,3
-0.811,1.396,-2.698,359.131,-29.48,-139.832,3
-0.217,0.342,-1.404,-36.316,-39.063,-82.581,3
0.184,0.123,-0.899,-151.978,-46.448,-28.442,3
0.372,0.429,-0.589,-232.361,-17.578,8.545,3
0.375,0.445,-0.275,-238.098,-11.292,27.832,3
0.254,0.42,-0.207,-217.041,-6.592,36.316,3
0.24,0.461,-0.262,-209.229,6.104,46.143,3
0.173,0.602,-0.176,-209.717,10.132,56.702,3
0.071,0.823,0.032,-201.538,8.301,65.918,3
-0.007,0.987,0.247,-162.231,7.507,72.998,3
0.109,0.992,0.142,-95.459,15.198,75.195,3
0.253,0.92,-0.275,-38.33,21.057,67.749,3
0.256,0.925,-0.553,-16.968,12.146,52.063,3
0.21,0.952,-0.654,-18.799,2.075,35.034,3
0.184,0.937,-0.712,-28.198,0.305,22.217,3
0.153,0.928,-0.734,-36.621,-3.723,14.648,3
0.165,0.865,-0.819,-38.208,-7.324,14.709,3
0.191,0.853,-0.87,-46.326,-9.827,15.137,3
0.235,0.868,-0.845,-58.167,-10.437,16.724,3
0.276,0.879,-0.801,-66.956,-12.512,17.944,3
0.32,0.859,-0.789,-70.557,-14.099,17.212,3
0.354,0.816,-0.8,-74.89,-15.076,13.123,3
0.355,0.771,-0.797,-81.909,-16.418,6.775,3
0.332,0.705,-0.781,-89.905,-17.09,-0.366,3
0.307,0.635,-0.758,-97.473,-17.029,-6.104,3
0.286,0.587,-0.727,-102.905,-17.578,-10.254,3
0.266,0.55,-0.681,-104.553,-18.616,-12.756,3
0.264,0.497,-0.654,-100.769,-20.325,-13.611,3
0.271,0.432,-0.696,-92.285,-21.729,-12.756,3
0.276,0.376,-0.743,-83.984,-22.217,-11.292,3
0.282,0.315,-0.794,-76.721,-22.583,-8.545,3
0.29,0.272,-0.838,-72.876,-20.752,-5.554,3
0.298,0.248,-0.859,-72.571,-15.869,-3.113,3
0.304,0.241,-0.843,-72.998,-11.414,0.122,3
0.304,0.25,-0.797,-71.594,-9.216,3.235,3
0.309,0.237,-0.783,-65.735,-7.446,5.31,3
0.316,0.222,-0.786,-59.082,-6.165,5.371,3
0.315,0.228,-0.795,-52.673,-6.287,4.395,3
0.321,0.223,-0.809,-46.326,-6.042,3.357,3
0.324,0.213,-0.822,-40.283,-5.554,2.258,3
0.34,0.165,-0.859,-31.982,-6.836,2.014,3
0.41,-0.033,-0.98,-18.921,-8.24,2.502,3
0.415,-0.134,-1.082,-0.793,-5.432,5.188,3
0.328,0.16,-1.009,11.353,-0.366,12.024,3
0.316,0.374,-0.973,10.803,5.737,20.508,3
0.319,0.409,-1.017,10.986,11.353,22.461,3
0.327,0.393,-1.084,10.742,11.536,18.555,3
0.325,0.365,-1.112,6.287,6.775,10.925,3
0.31,0.36,-1.075,0.977,0.366,2.319,3
0.303,0.341,-1.026,-2.93,-4.761,-4.639,3
0.309,0.293,-0.999,-3.906,-6.653,-10.742,3
0.299,0.267,-0.964,-3.723,-7.751,-15.991,3
0.279,0.257,-0.915,-3.906,-8.972,-18.86,3
0.262,0.232,-0.877,-4.456,-8.728,-19.409,3
0.252,0.206,-0.857,-3.845,-6.226,-18.311,3
0.235,0.209,-0.83,-2.869,-3.845,-16.785,3
0.221,0.214,-0.806,-1.831,-2.625,-15.015,3
0.209,0.223,-0.794,0.366,-1.343,-13.062,3
0.207,0.24,-0.793,3.479,0.305,-11.414,3
0.196,0.249,-0.815,5.798,0.671,-10.376,3
0.189,0.244,-0.833,6.958,-0.122,-8.972,3
0.171,0.262,-0.835,7.019,-1.404,-7.019,3
0.183,0.274,-0.859,5.005,0.977,-4.578,3
0.219,0.295,-0.884,1.038,6.348,-2.93,3
0.233,0.32,-0.872,-1.526,8.423,-1.831,3
0.229,0.348,-0.849,-0.61,5.798,-1.526,3
0.222,0.355,-0.85,1.526,3.418,-1.892,3
0.219,0.357,-0.869,3.784,1.953,-2.136,3
0.22,0.367,-0.894,5.371,0.366,-1.648,3
0.225,0.383,-0.909,5.127,-0.977,-0.793,3
0.237,0.381,-0.92,4.761,-1.587,0.122,3
0.242,0.383,-0.92,4.761,-2.197,1.343,3
0.251,0.394,-0.912,4.089,-2.441,1.77,3
0.263,0.39,-0.912,2.808,-1.709,1.343,3
0.273,0.381,-0.912,1.587,-0.61,-0.061,3
0.276,0.373,-0.911,0.61,-0.549,-1.526,3
0.274,0.364,-0.908,-0.305,-1.709,-2.136,3
0.274,0.354,-0.901,-1.038,-2.747,-2.258,3
0.271,0.358,-0.88,-1.526,-3.235,-2.319,3
0.274,0.357,-0.868,-1.709,-3.601,-2.136,3
0.277,0.347,-0.862,-1.282,-3.357,-2.197,3
0.279,0.332,-0.855,-0.793,-3.357,-2.319,3
0.274,0.326,-0.844,0.244,-3.906,-1.648,3
0.275,0.321,-0.841,1.465,-4.517,-0.183,3
0.284,0.324,-0.85,2.014,-3.906,1.099,3
0.307,0.333,-0.863,0.61,-1.221,1.343,3
0.321,0.338,-0.864,-1.282,0.916,0.793,3
0.323,0.339,-0.862,-1.648,1.038,-0.366,3
0.32,0.347,-0.858,-1.038,1.16,-1.099,3
0.314,0.358,-0.852,-0.61,1.465,-1.282,3
0.308,0.357,-0.849,0.427,1.343,-1.587,3
0.299,0.348,-0.852,2.563,0.244,-1.892,3
0.287,0.344,-0.853,4.272,-0.61,-1.77,3
0.281,0.344,-0.856,5.31,-0.977,-1.038,3
0.285,0.346,-0.872,5.859,0.183,-0.122,3
0.293,0.358,-0.892,4.7,2.258,0.305,3
0.295,0.365,-0.892,3.418,2.747,0.0,3
0.289,0.363,-0.884,2.563,2.075,-0.793,3
0.276,0.359,-0.879,2.686,1.343,-1.282,3
0.267,0.36,-0.88,2.991,0.732,-1.343,3
0.273,0.367,-0.886,1.282,2.441,-1.343,3
0.276,0.368,-0.887,-0.122,3.723,-1.282,3
0.269,0.37,-0.883,0.061,2.869,-0.854,3
0.262,0.368,-0.884,0.244,2.258,-0.427,3
0.255,0.375,-0.878,0.488,2.258,0.366,3
0.266,0.389,-0.877,1.038,1.831,1.709,3
0.285,0.393,-0.892,0.916,2.441,1.526,3
0.295,0.39,-0.899,0.244,2.808,-0.122,3
0.284,0.381,-0.899,0.122,1.282,-2.075,3
0.265,0.367,-0.894,0.061,0.122,-3.296,3
0.246,0.358,-0.893,-0.305,-0.366,-2.93,3
0.246,0.355,-0.894,-1.16,0.244,-1.282,3
0.263,0.362,-0.894,-2.747,2.258,0.183,3
0.278,0.365,-0.887,-3.418,2.258,0.61,3
