aX,aY,aZ,gX,gY,gZ,sample
0.083,0.591,0.866,-236.45,-8.179,-315.979,3
0.1,0.436,0.847,-237.549,-10.193,-323.181,3
0.113,0.244,0.814,-237.671,-9.277,-335.083,3
0.138,0.058,0.783,-239.685,-8.85,-342.468,3
0.163,-0.116,0.752,-239.746,-13.306,-341.98,3
0.147,-0.222,0.755,-230.591,-19.714,-337.708,3
0.193,-0.351,0.735,-206.116,-29.846,-338.013,3
0.197,-0.541,0.618,-178.467,-32.776,-340.881,3
0.201,-0.753,0.522,-163.513,-29.053,-340.332,3
0.245,-0.962,0.468,-160.828,-27.527,-330.872,3
0.343,-1.162,0.407,-162.354,-26.855,-312.073,3
0.443,-1.318,0.326,-162.415,-26.001,-285.583,3
0.552,-1.4,0.204,-155.64,-25.757,-257.568,3
0.651,-1.471,0.056,-139.343,-27.405,-236.206,3
0.717,-1.498,-0.023,-118.286,-31.067,-221.68,3
0.742,-1.449,0.011,-96.375,-34.424,-208.496,3
0.816,-1.53,0.037,-70.313,-33.63,-193.298,3
0.899,-1.646,0.008,-53.345,-31.494,-169.495,3
0.955,-1.618,0.051,-52.979,-31.372,-134.277,3
1.02,-1.563,0.11,-58.289,-32.043,-95.52,3
1.05,-1.464,0.18,-65.796,-27.771,-59.814,3
1.036,-1.348,0.219,-72.693,-21.484,-31.067,3
0.996,-1.194,0.243,-74.585,-12.817,-9.827,3
0.911,-1.089,0.23,-67.627,1.404,2.075,3
0.872,-1.005,0.18,-59.875,13.306,13.794,3
0.898,-0.868,0.17,-55.786,18.738,26.184,3
0.919,-0.785,0.169,-45.593,11.047,28.137,3
0.888,-0.734,0.151,-27.649,3.479,19.897,3
0.879,-0.708,0.119,-8.24,4.822,14.282,3
0.895,-0.698,0.072,7.324,6.653,15.442,3
0.909,-0.645,0.021,16.296,4.395,21.423,3
0.905,-0.56,0.028,18.86,0.854,26.978,3
0.902,-0.483,0.069,17.761,-0.916,29.602,3
0.903,-0.4,0.117,14.648,-1.709,33.997,3
0.895,-0.287,0.165,12.695,-2.625,39.368,3
0.882,-0.203,0.2,12.817,-2.441,40.894,3
0.872,-0.159,0.214,11.963,-0.977,38.94,3
0.874,-0.152,0.214,9.033,-0.244,36.438,3
0.895,-0.13,0.199,5.31,-1.282,35.767,3
0.93,-0.131,0.171,5.249,-2.93,35.645,3
0.958,-0.14,0.151,9.46,-4.822,34.18,3
0.959,-0.145,0.131,13.062,-5.737,32.349,3
0.957,-0.133,0.134,12.695,-6.653,31.067,3
0.964,-0.117,0.155,10.437,-7.996,31.006,3
0.975,-0.101,0.181,9.888,-9.827,31.738,3
0.971,-0.072,0.21,12.695,-10.742,30.823,3
0.969,-0.067,0.223,16.418,-8.606,26.184,3
0.966,-0.06,0.236,15.869,-5.615,20.691,3
0.969,-0.059,0.241,12.573,-4.089,18.127,3
0.982,-0.073,0.24,10.132,-4.15,16.968,3
0.995,-0.087,0.23,9.827,-4.578,15.442,3
0.987,-0.108,0.205,9.644,-3.601,14.038,3
0.968,-0.094,0.204,6.104,-2.014,13.245,3
0.953,-0.081,0.213,1.648,-1.465,13.733,3
0.947,-0.062,0.228,-2.136,-1.77,14.465,3
0.948,-0.045,0.247,-4.456,-2.197,14.038,3
0.951,-0.06,0.24,-4.15,-0.732,10.437,3
0.932,-0.089,0.216,-3.479,1.77,5.432,3
0.92,-0.128,0.184,-3.052,3.967,1.221,3
0.924,-0.165,0.154,-1.465,4.7,-1.465,3
0.933,-0.199,0.137,1.465,4.456,-2.625,3
0.946,-0.215,0.128,4.211,3.906,-4.272,3
0.949,-0.226,0.131,5.31,3.052,-5.432,3
0.942,-0.221,0.147,4.517,1.892,-4.822,3
0.948,-0.215,0.173,3.174,0.732,-2.93,3
0.964,-0.215,0.186,2.197,0.488,-1.587,3
0.971,-0.22,0.187,1.221,0.427,-0.305,3
0.974,-0.218,0.189,0.366,0.366,0.977,3
0.972,-0.213,0.193,0.244,0.244,2.136,3
0.976,-0.203,0.196,0.916,1.038,2.38,3
1.396,-0.948,0.494,9.521,37.048,66.956,4
1.458,-1.068,0.438,8.362,49.622,95.703,4
1.386,-1.123,0.343,3.479,59.753,123.474,4
1.343,-1.183,0.268,-0.183,63.721,148.499,4
1.197,-1.227,0.22,-3.296,50.537,174.072,4
1.108,-1.215,0.203,-7.996,53.467,200.684,4
1.06,-1.15,0.286,-8.362,54.199,224.792,4
0.967,-1.1,0.26,2.563,54.077,242.31,4
0.868,-1.036,0.207,21.545,56.458,255.981,4
0.88,-0.988,0.242,43.03,63.538,265.503,4
0.733,-0.917,0.295,69.031,70.007,264.16,4
0.637,-0.812,0.284,101.44,79.346,274.109,4
0.615,-0.702,0.211,134.705,89.966,288.391,4
